인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용,단독주택,세종,193.54,4.0
본인증,주거용 이외,제1종 근린생활시설,경남,997.15,5.0
본인증,주거용 이외,방송통신시설,충남,2993.91,3.0
본인증,주거용 이외,국방·군사시설,서울,1658.49,5.0
예비인증,주거용 이외,교육연구시설,강원,8148.21,4.0
예비인증,주거용 이외,운동시설,강원,2105.16,1.0
예비인증,주거용 이외,업무시설,울산,2383.39,4.0
예비인증,주거용,공동주택,강원,8635.74,3.0
본인증,주거용 이외,교육연구시설,충남,6506.15,4.0
예비인증,주거용 이외,업무시설,제주,3970.99,3.0
예비인증,주거용 이외,제1종 근린생활시설,경남,704.67,4.0
예비인증,주거용 이외,공장,경북,8245.33,5.0
예비인증,주거용 이외,제1종 근린생활시설,충남,536.89,3.0
예비인증,주거용 이외,국방·군사시설,경기,2004.6,5.0
예비인증,주거용 이외,교육연구시설,대전,14498.55,4.0
예비인증,주거용 이외,교육연구시설,부산,9170.6,4.0
본인증,주거용 이외,국방·군사시설,강원,1954.4,5.0
예비인증,주거용 이외,제1종 근린생활시설,경북,1699.26,4.0
예비인증,주거용 이외,수련시설,경북,762.18,4.0
예비인증,주거용 이외,업무시설,경북,7002.93,4.0
예비인증,주거용 이외,국방·군사시설,경기,5004.77,5.0
예비인증,주거용 이외,교육연구시설,대전,8845.65,4.0
예비인증,주거용 이외,관광 휴게시설,경남,2972.13,4.0
예비인증,주거용 이외,교육연구시설,경남,5301.62,4.0
예비인증,주거용 이외,교육연구시설,경남,4072.57,4.0
예비인증,주거용 이외,교육연구시설,경남,8255.35,4.0
예비인증,주거용 이외,관광 휴게시설,경북,1379.58,4.0
예비인증,주거용 이외,교육연구시설,전남,16176.43,3.0
예비인증,주거용 이외,운동시설,충남,2409.39,4.0
예비인증,주거용 이외,제1종 근린생활시설,인천,534.83,5.0
예비인증,주거용 이외,교육연구시설,전북,3997.33,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,932.45,5.0
예비인증,주거용 이외,교육연구시설,경북,1638.32,4.0
예비인증,주거용 이외,제1종 근린생활시설,충남,1890.53,4.0
예비인증,주거용 이외,업무시설,충남,1939.94,3.0
예비인증,주거용 이외,운수시설,경기,5475.47,3.0
예비인증,주거용 이외,운수시설,경기,4700.81,3.0
예비인증,주거용 이외,운수시설,경기,5733.64,3.0
예비인증,주거용 이외,교육연구시설,경기,11745.29,4.0
예비인증,주거용 이외,교육연구시설,경기,11495.54,4.0
예비인증,주거용 이외,제1종 근린생활시설,부산,54311.0329,5.0
예비인증,주거용,공동주택,부산,54311.0329,5.0
예비인증,주거용 이외,제1종 근린생활시설,전북,775.27,5.0
예비인증,주거용 이외,교육연구시설,강원,606.25,5.0
예비인증,주거용 이외,수련시설,전남,1365.83,3.0
예비인증,주거용 이외,운동시설,충남,4581.74,3.0
예비인증,주거용 이외,업무시설,충북,7281.78,4.0
예비인증,주거용 이외,문화 및 집회시설,세종,770.89,3.0
예비인증,주거용 이외,노유자시설,부산,1871.4,4.0
예비인증,주거용 이외,업무시설,서울,4302.01,5.0
예비인증,주거용 이외,업무시설,제주,10520.4,4.0
예비인증,주거용 이외,제1종 근린생활시설,경남,1873.88,4.0
예비인증,주거용 이외,운동시설,경북,1057.26,3.0
예비인증,주거용 이외,교육연구시설,충남,823.76,4.0
예비인증,주거용 이외,운동시설,전남,859.82,4.0
예비인증,주거용 이외,문화 및 집회시설,경기,1722.61,4.0
예비인증,주거용 이외,국방·군사시설,서울,931.35,5.0
예비인증,주거용 이외,업무시설,경기,9726.05,4.0
예비인증,주거용 이외,업무시설,경기,8992.64,4.0
예비인증,주거용 이외,업무시설,세종,4897.87,4.0
예비인증,주거용 이외,제1종 근린생활시설,전북,2064.34,4.0
예비인증,주거용 이외,교육연구시설,경남,554.18,5.0
예비인증,주거용 이외,교육연구시설,경북,4344.84,4.0
예비인증,주거용 이외,문화 및 집회시설,충남,9868.14,3.0
예비인증,주거용 이외,교육연구시설,충남,3699.48,3.0
예비인증,주거용 이외,제1종 근린생활시설,경북,985.71,5.0
예비인증,주거용 이외,노유자시설,경북,2439.13,1.0
예비인증,주거용 이외,제1종 근린생활시설,전남,693.92,5.0
예비인증,주거용 이외,제1종 근린생활시설,전남,546.77,5.0
예비인증,주거용 이외,국방·군사시설,경기,545.86,4.0
예비인증,주거용 이외,업무시설,경기,7717.65,4.0
예비인증,주거용 이외,제1종 근린생활시설,광주,10286.9973,5.0
예비인증,주거용 이외,교육연구시설,부산,14148.43,4.0
예비인증,주거용 이외,교육연구시설,서울,1647.36,4.0
예비인증,주거용 이외,교육연구시설,강원,1919.34,4.0
