No,인증구분,인증기관,건물구분,건물용도,지역,주소,건물명,신청업체명,연면적,인증등급,인증일자,인증취소일자
761,예비인증,한국환경건축연구원,주거용,공동주택,경북,"경상북도 울진군 죽변면 후정리 일반 19  -6   , 28, 19-3번지",한전KPS 한울권역 사택 신축공사,한전KPS(주),"4,069.08",5,2025.04.10,-
762,예비인증,한국건설생활환경시험연구원,주거용 이외,묘지 관련 시설,충남,"충청남도 아산시 송악면 거산리 산 56-21, 외 5필지",아산시 공설 장사시설,아산시청,"4,940.48",3,2025.04.09,-
763,예비인증,한국환경건축연구원,주거용 이외,국방·군사시설,경기,"경기도 성남시  수정구 고등동  일반, 일원",23-D-00부대 00고,국방시설본부,4646.88,3,2025.04.09,-
764,예비인증,한국건설생활환경시험연구원,주거용 이외,제1종 근린생활시설,대구,"대구광역시 서구 평리동  713-1, 외 5필지",정다운 평리들마을 주민커뮤니티센터,대구광역시 서구청,992.72,5,2025.04.09,-
765,예비인증,한국부동산원,주거용 이외,교육연구시설,부산,경남 양산시 물금읍 부산대학로 49,부산대학교 시설개선 임대형 민자사업(BTL),부산미래창조(주),10092.02,4,2025.04.09,-
766,예비인증,한국교육녹색환경연구원,주거용 이외,교육연구시설,서울,"서울특별시 관악구 신림동  일반 544 , ",관악문화플라자 및 공공주택 복합화사업(비주거),서울주택도시공사,38862.01,5,2025.04.09,-
767,예비인증,한국환경건축연구원,주거용,공동주택,강원,"강원특별자치도 평창군 용평면 장평리 일반 317 -2   , ",평창장평 고령자복지주택 건설공사,한국토지주택공사,5300.46,5,2025.04.09,-
768,예비인증,한국생산성본부인증원,주거용,공동주택,서울,"서울특별시 송파구 가락동  일반 38  -5   , ",가락동 38-5 도시형생활주택(소형아파트) 신축공사,(주)제이엘종합개발,3423.41,5,2025.04.09,-
769,예비인증,한국교육녹색환경연구원,주거용,공동주택,서울,"서울특별시 관악구 신림동  일반, 544번지",관악문화플라자 및 공공주택 복합화 사업,서울주택도시공사,38862.01,5,2025.04.09,-
770,예비인증,한국생산성본부인증원,주거용 이외,제1종 근린생활시설,전북,"전북특별자치도 진안군 진안읍 군상리 246 -1   , ",진안군 보훈회관,진안군청,798.09,5,2025.04.07,-
